Date,Incident Type,Place of Origin,Casualties
5/12/2023,Combatant/Killed,Armenia-Azerbaijan: Vardenis-Kelbajar,1
5/17/2023,Combatant/Killed,Armenia-Azerbaijan: Vardenis-Kelbajar,1
5/27/2023,Non-combatant/Wounded,Armenia-Azerbaijan: Ijevan-Tovuz,1
6/15/2023,Combatant/Wounded,Armenia-Azerbaijan: Goris-Lachin,1
6/15/2023,Combatant/Wounded,Armenia-Azerbaijan: Goris-Lachin,1
6/22/2023,Combatant/Wounded,NK: Martakert-Terter,1
6/27/2023,Combatant/Wounded,NK: Martakert-Terter,1
6/28/2023,Combatant/Killed,NK: Martakert-Terter,2
6/28/2023,Combatant/Killed,NK: Agdam-Askeran,2
7/11/2023,Combatant/Wounded,Armenia-Azerbaijan: Goris-Lachin,1
7/12/2023,Combatant/Wounded,Armenia-Azerbaijan: Goris-Lachin,2
7/13/2023,Non-combatant/Wounded,NK: Kelbajar,1
8/14/2023,Combatant/Wounded,Armenia-Azerbaijan: Vardenis-Kelbajar,1
8/21/2023,Combatant/Killed,Armenia-Azerbaijan: Vardenis-Kelbajar,1
8/22/2023,Combatant/Wounded,Armenia-Azerbaijan: Vardenis-Kelbajar,1
8/24/2023,Non-combatant/Wounded,NK: Shusha-Stepanakert,1
8/25/2023,Non-combatant/Wounded,NK: Hadrut-Jebrail-Fizuli,1
9/1/2023,Combatant/Wounded,Armenia-Azerbaijan: Vardenis-Kelbajar,1
9/1/2023,Combatant/Killed,Armenia-Azerbaijan: Vardenis-Kelbajar,3
9/1/2023,Combatant/Wounded,Armenia-Azerbaijan: Vardenis-Kelbajar,2
9/10/2023,Combatant/Wounded,NK: Agdam-Askeran,1
